Date,SP500,STOXX50
2008-08-27,1281.660034,3299.149902
2008-08-28,1300.680054,3359.419922
2008-08-29,1282.829956,3365.6298829999996
2008-09-02,1277.579956,3416.459961
2008-09-03,1274.97998,3368.969971
2008-09-04,1236.829956,3274.820068
2008-09-05,1242.310059,3185.830078
2008-09-08,1267.790039,3284.1201170000004
2008-09-09,1224.51001,3261.070068
2008-09-10,1232.040039,3242.02002
2008-09-11,1249.050049,3222.100098
2008-09-12,1251.699951,3278.02002
2008-09-15,1192.699951,3151.169922
2008-09-16,1213.599976,3088.429932
2008-09-17,1156.390015,3018.77002
2008-09-18,1206.51001,3000.830078
2008-09-19,1255.079956,3253.52002
2008-09-22,1207.089966,3181.77002
2008-09-23,1188.219971,3139.830078
2008-09-24,1185.869995,3119.830078
2008-09-25,1209.180054,3207.110107
2008-09-26,1213.27002,3156.459961
2008-09-29,1106.420044,3008.189941
2008-09-30,1166.359985,3038.199951
2008-10-01,1161.060059,3067.350098
2008-10-02,1114.280029,3007.51001
2008-10-03,1099.22998,3113.820068
2008-10-06,1056.890015,2868.969971
2008-10-07,996.2299800000001,2879.449951
2008-10-08,984.9400019999999,2694.550049
2008-10-09,909.919983,2629.040039
2008-10-10,899.2199710000001,2421.8701170000004
2008-10-13,1003.349976,2688.320068
2008-10-14,998.01001,2756.73999
2008-10-15,907.840027,2578.060059
2008-10-16,946.429993,2423.800049
2008-10-17,940.5499880000001,2532.169922
2008-10-20,985.400024,2613.679932
2008-10-21,955.0499880000001,2598.969971
2008-10-22,896.7800289999999,2457.969971
2008-10-23,908.1099849999999,2452.030029
2008-10-24,876.7700199999999,2333.280029
2008-10-27,848.919983,2293.040039
2008-10-28,940.51001,2381.679932
2008-10-29,930.090027,2515.23999
2008-10-30,954.090027,2528.040039
2008-10-31,968.75,2591.76001
2008-11-03,966.2999880000001,2610.040039
2008-11-04,1005.75,2755.1201170000004
2008-11-05,952.7700199999999,2710.649902
2008-11-06,904.8800050000001,2542.040039
2008-11-07,930.98999,2602.540039
2008-11-10,919.2100220000001,2625.840088
2008-11-11,898.9500119999999,2483.610107
2008-11-12,852.2999880000001,2400.73999
2008-11-13,911.2899779999999,2429.939941
2008-11-14,873.2899779999999,2458.310059
2008-11-17,850.75,2364.830078
2008-11-18,859.1199949999999,2390.100098
2008-11-19,806.580017,2295.360107
2008-11-20,752.4400019999999,2225.98999
2008-11-21,800.030029,2165.909912
2008-11-24,851.8099980000001,2380.300049
2008-11-25,857.3900150000001,2385.899902
2008-11-26,887.679993,2373.820068
2008-11-28,896.23999,2430.310059
2008-12-01,816.210022,2288.389893
2008-12-02,848.8099980000001,2354.1298829999996
2008-12-03,870.73999,2369.52002
2008-12-04,845.2199710000001,2368.719971
